Type,ID,SedRed,Cost,Duck,Site_ID,River,Zone,HYDSB,SEDSB,SEDSB_R,Watershed,subwatersh,budget_rat,gag_loc_LES,zone_LES,TOPOWAT_LES,HYDSB_LES30SB,area_m2,DA_9_SA_m2,LAND_COVER,FrmlndCls,DrainClass,HydrcRatng,Hydri,PondFCls,Slope,SurfText,Tfactor,compname,KfactorRF,KfactorWS,mean_slope,mean_D_m,total_V_m3,mean_V_m3,MUSYM,CropProdIn,NEAR_FID,NEAR_DIST,NEAR_FC,CPI_depth
WCMO,15,25.645,49568.955,8.567,15,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,37202.08594,334818.7734,Open Water,All areas are prime farmland,Well drained,Not Hydric,0.0,None,2.285714286,loam,4.428571429,Lester,0.21,0.21,1.8945129,0.7517973000000001,28194.652339999997,27948.73633,114,85,8002,0.0,GBER_CONUS_wet_poly,113.0623932
WCMO,16,3.3989999999999996,15945.098,3.122,16,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,4924.134277,44317.2085,Cultivated Crops,All areas are prime farmland,Moderately well drained,Not Hydric,0.0,None,1.25,clay loam,5.0,Le Sueur,0.26,0.26,0.7809469,1.4417572,6890.157227,7094.398437999999,239,92,2640,180.8181947,GBER_CONUS_wet_poly,63.811019900000005
WCMO,17,3.7030000000000003,11440.622,3.3689999999999998,17,LES,3,5,1,10,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,5354.905761999999,48194.151860000005,Hay/Pasture,Not prime farmland,,Unknown Hydric,0.5,None,1.4,,4.0,Water,0.20199999999999999,0.20199999999999999,1.7085550999999999,2.4921126,13120.97363,13336.01465,211,64,5319,0.0,GBER_CONUS_wet_poly,25.681022600000002
WCMO,18,4.995,1405.286,3.758,18,LES,2,3,8,16,Le Sueur,Upper Le Sueur,LS btwn gauges,AB,2,LO,9,7321.800293000001,65896.20264,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,1.8333333330000001,clay loam,5.0,Cordova,0.2666667,0.2666667,1.5679595,0.4424918,3333.290772,3237.519043,109,90,8072,64.2625389,GBER_CONUS_wet_poly,203.3936005
WCMO,19,3.964,1115.2069999999999,3.3360000000000003,19,LES,2,3,8,16,Le Sueur,Upper Le Sueur,LS btwn gauges,AB,2,LO,9,5810.437988000001,52293.941889999995,Cultivated Crops,All areas are prime farmland,Moderately well drained,Not Hydric,0.0,None,1.8333333330000001,clay loam,5.0,Le Sueur,0.2666667,0.2666667,1.3239841,0.5959539,3620.419922,3460.2685549999997,114,90,3034,0.0,GBER_CONUS_wet_poly,151.0184021
WCMO,20,2.553,6048.224,2.7460000000000004,20,LES,3,2,4,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,3896.332764,35066.99487,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,2.0,clay loam,5.0,Cordova,0.2533333,0.2533333,0.30419650000000004,0.4120097,1601.893677,1604.184326,109,92,640,456.08523899999994,GBER_CONUS_wet_poly,223.29571529999998
WCMO,21,5.867999999999999,8100.107,4.1739999999999995,21,LES,3,2,4,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,8956.603516,80609.43164,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,0.75,clay loam,5.0,Cordova,0.28,0.28,0.279432,0.5121571,4563.320313,4583.931640999999,109,86,640,71.05453473,GBER_CONUS_wet_poly,167.91720580000003
WCMO,22,20.02,16365.671,7.71,22,LES,3,2,4,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,30567.32813,275105.9531,Cultivated Crops,Prime farmland if drained,Very poorly drained,All Hydric,1.0,Frequent,0.75,clay loam,5.0,Glencoe,0.26,0.26,0.2560838,0.4981137,15251.24512,15215.18555,114,90,640,332.6735628,GBER_CONUS_wet_poly,180.6816559
WCMO,23,149.779,130519.28,21.15,23,LES,3,2,4,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,229116.4063,2062047.656,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,2.739130435,clay loam,5.0,Cordova,0.26,0.26,0.4658528,1.7685814999999998,405698.4688,404923.6875,414,89,640,0.0,GBER_CONUS_wet_poly,50.3228149
WCMO,24,12.395999999999999,11550.456,6.074,24,LES,3,2,4,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,18925.10352,170325.9316,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,2.875,clay loam,5.0,Cordova,0.27,0.27,0.9896518,0.6143202,11643.82422,11617.82129,109,86,1355,190.93603810000002,GBER_CONUS_wet_poly,139.99215700000002
WCMO,25,3.661,6018.034000000001,3.2460000000000004,25,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,5304.14502,47737.30518,Cultivated Crops,Prime farmland if drained,Very poorly drained,All Hydric,1.0,Frequent,1.166666667,silty clay loam,5.0,Glencoe,0.2666667,0.2666667,0.7896915,0.3362815,1770.522339,1782.436523,84,88,8302,561.5749182,GBER_CONUS_wet_poly,261.6854858
WCMO,26,4.657,1295.0710000000001,3.657,26,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,6747.562988,60728.066889999995,Cultivated Crops,Prime farmland if drained,Very poorly drained,All Hydric,1.0,Frequent,0.75,silty clay loam,5.0,Glencoe,0.28,0.28,1.5514976,0.1824966,1182.5778810000002,1230.543457,84,84,8302,150.5558268,GBER_CONUS_wet_poly,460.2825623
WCMO,27,5.047,6403.691999999999,3.812,27,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,7313.496581999999,65821.46923999999,Cultivated Crops,Prime farmland if drained,Very poorly drained,All Hydric,1.0,Frequent,1.166666667,silty clay loam,5.0,Glencoe,0.2666667,0.2666667,0.8658171,0.2538059,1809.128662,1854.9082030000002,84,88,8302,533.6517681,GBER_CONUS_wet_poly,346.7215881
WCMO,28,5.73,6593.828,4.077,28,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,8304.138672,74737.24805,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,1.166666667,silty clay loam,5.0,Marna,0.2666667,0.2666667,0.0952937,0.4976375,3950.246582,4129.56543,110,89,1664,380.94566210000005,GBER_CONUS_wet_poly,178.8450317
WCMO,29,44.06399999999999,23034.34,11.3,29,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,63979.25391,575813.2852,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,0.75,silty clay loam,5.0,Marna,0.2733333,0.2733333,0.06311839999999999,1.1470616000000002,73307.5625,73336.82813,86,86,10516,397.30994419999996,GBER_CONUS_wet_poly,74.9741821
WCMO,30,9.222999999999999,2565.805,5.159,30,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,13368.32227,120314.9004,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,0.75,silty clay loam,5.0,Marna,0.28,0.28,0.33600559999999996,0.42937429999999993,5738.587402,5735.992676,211,84,10516,381.8118506,GBER_CONUS_wet_poly,195.6335144
WCMO,31,13.907,10683.178,6.34,31,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,20161.8418,181456.5762,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,0.75,silty clay loam,5.0,Marna,0.28,0.28,0.3578427,0.5700272,11404.53418,11484.75391,211,84,10516,275.8823466,GBER_CONUS_wet_poly,147.3613892
WCMO,32,2.98,881.047,3.035,32,LES,3,2,9,30,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,4590.417481,41313.75732,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,0.75,silty clay loam,5.0,Marna,0.28,0.28,0.060332500000000004,0.27620459999999997,1297.6088869999999,1267.009644,110,84,1664,187.875757,GBER_CONUS_wet_poly,304.12243650000005
WCMO,33,4.084,11692.798,3.5669999999999997,33,LES,3,2,9,30,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,6292.261719,56630.35547,Cultivated Crops,All areas are prime farmland,Moderately well drained,Not Hydric,0.0,None,1.5,clay loam,5.0,Le Sueur,0.26,0.26,0.23790589999999998,0.4087763,2582.648682,2570.341309,239,92,6499,164.1570158,GBER_CONUS_wet_poly,225.0619812
WCMO,34,14.944,4299.741,6.837999999999999,34,LES,3,5,2,10,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,22402.44922,201622.043,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,0.75,clay loam,5.0,Cordova,0.28,0.28,0.2825053,0.2843558,6334.024414,6365.913086,978,86,12820,365.32054589999996,GBER_CONUS_wet_poly,302.43804930000005
WCMO,35,33.031,22869.432,10.043,35,LES,3,5,1,10,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,47836.69141,430530.2227,Cultivated Crops,Farmland of statewide importance,Very poorly drained,All Hydric,1.0,Frequent,2.714285714,muck,4.428571429,Caron,0.25,0.25,1.1368563999999999,1.1019036,52124.44922,52675.66016,238B,85,6905,0.0,GBER_CONUS_wet_poly,77.1392365
WCMO,36,2.16,10880.29,2.57,36,LES,3,5,1,10,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,3122.9458010000003,28106.51221,Cultivated Crops,All areas are prime farmland,Well drained,Not Hydric,0.0,None,2.5,clay loam,5.0,Kilkenny,0.28,0.28,0.3489443,0.2667948,799.5839232999999,832.62323,110,83,12516,111.00601699999999,GBER_CONUS_wet_poly,311.10055539999996
WCMO,37,175.13299999999998,149640.486,23.221,37,LES,3,5,1,10,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,255369.0,2298321.0,Emergent Herbaceuous Wetlands,Prime farmland if drained,Very poorly drained,All Hydric,1.0,Frequent,3.0909090910000003,silty clay,4.575757576,Lura,0.2418182,0.2418182,0.7701005,1.5530347,395502.0313,396328.8125,238B,84,4788,0.0,GBER_CONUS_wet_poly,54.087654099999995
WCMO,38,2.0980000000000003,16149.615,2.5140000000000002,38,LES,3,2,4,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,3202.495361,28822.45825,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,2.5,clay loam,5.0,Cordova,0.26,0.26,0.1056151,0.5419706,1712.085327,1734.4356690000002,106B,89,8002,175.650051,GBER_CONUS_wet_poly,164.2155457
WCMO,39,56.806999999999995,57050.948,12.784,39,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,82533.35156,742800.1641,Cultivated Crops,Prime farmland if drained,Very poorly drained,All Hydric,1.0,Frequent,2.0,silty clay loam,3.9090909089999997,Glencoe,0.1863636,0.1863636,0.3604436,1.8167377,149510.25,149836.0781,114,78,2640,0.0,GBER_CONUS_wet_poly,42.9341011
WCMO,40,3.219,10893.282,3.1239999999999997,40,LES,3,5,1,10,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,4654.166992,41887.50293,Cultivated Crops,Prime farmland if drained,Very poorly drained,All Hydric,1.0,Frequent,1.0,silty clay loam,5.0,Okoboji,0.28,0.28,1.2860214,0.1698407,797.9116821,789.9326172,239,88,6482,154.52046289999998,GBER_CONUS_wet_poly,518.1325072999999
WCMO,41,5.608,6556.609,4.16,41,LES,3,5,1,10,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,8110.22168,72991.99512,Cultivated Crops,Prime farmland if drained,Very poorly drained,All Hydric,1.0,Frequent,1.25,silty clay,5.0,Lura,0.26,0.26,0.8281743,1.0699067,8406.257813,8671.34668,211,90,6900,43.55783689,GBER_CONUS_wet_poly,84.1194839
WCMO,42,3.832,6122.034000000001,3.5380000000000003,42,LES,3,5,10,12,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,5846.008301,52614.07471,Cultivated Crops,All areas are prime farmland,Well drained,Not Hydric,0.0,None,2.5,clay loam,5.0,Kilkenny,0.28,0.28,1.2580396,0.8501700000000001,4889.327636999999,4966.766602000001,109,83,4589,114.14484109999998,GBER_CONUS_wet_poly,97.62754059999999
WCMO,43,76.187,44747.608,15.249,43,LES,3,5,1,10,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,110574.1953,995167.7578,Cultivated Crops,All areas are prime farmland,Moderately well drained,Not Hydric,0.0,None,2.125,clay loam,4.416666667,Le Sueur,0.22,0.22,0.6465417,0.7920498,87188.04688,87521.07813,230,90,6482,0.0,GBER_CONUS_wet_poly,113.6292267
WCMO,45,2.233,5653.854,2.705,45,LES,3,5,10,12,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,3406.701172,30660.31055,Hay/Pasture,All areas are prime farmland,Well drained,Not Hydric,0.0,None,2.25,loam,5.0,Lester,0.26,0.26,2.7670486,1.8804702000000002,6397.359375,6401.912598,106B,86,12373,0.0,GBER_CONUS_wet_poly,45.733242
WCMO,46,3.283,5961.343000000001,3.2739999999999996,46,LES,3,5,10,12,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,5008.773926,45078.96533,Cultivated Crops,All areas are prime farmland,Moderately well drained,Not Hydric,0.0,None,2.166666667,loam,5.0,Terril,0.2533333,0.2533333,1.8527435,1.2932021999999999,6494.461426,6473.007324,94B,93,4589,0.0,GBER_CONUS_wet_poly,71.9145126
WCMO,47,8.259,19552.028000000002,5.043,47,LES,3,2,9,30,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,12724.43262,114519.8936,Hay/Pasture,All areas are prime farmland,Well drained,Not Hydric,0.0,None,1.8333333330000001,clay loam,3.666666667,Kilkenny,0.19333329999999999,0.19333329999999999,1.4699149999999999,1.7222241000000003,22738.52344,21899.0,238B,57,10516,0.0,GBER_CONUS_wet_poly,33.0967369
WCMO,48,2.5780000000000003,762.0880000000001,2.82,48,LES,3,2,9,30,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,3970.619629,35735.57666,Herbaceuous,Not prime farmland,Poorly drained,All Hydric,1.0,None,2.0,loamy fine sand,5.0,Beaches,0.17,0.17,1.2015348999999997,2.2712915000000002,8830.78125,9012.133789,1032,72,6223,0.0,GBER_CONUS_wet_poly,31.7000256
WCMO,51,21.465,6140.6359999999995,7.654,51,LES,2,3,5,7,Le Sueur,Upper Le Sueur,LS AB UG,AB,2,UL,9,31993.85742,287944.7168,Cultivated Crops,Not prime farmland,Excessively drained,Not Hydric,0.0,None,3.5,sandy loam,4.25,Hawick,0.1675,0.1675,0.40031609999999995,1.6150181000000001,51803.32031,51632.78125,392,56,7000,155.9583638,GBER_CONUS_wet_poly,34.6745338
WCMO,52,3.7880000000000003,16108.968,3.522,52,LES,3,5,10,12,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,5777.928711,52001.3584,Hay/Pasture,All areas are prime farmland,Moderately well drained,Not Hydric,0.0,None,3.0,clay loam,4.0,Le Sueur,0.205,0.205,0.4641384,1.3924317,7556.727539,8039.981934,239,85,8534,0.0,GBER_CONUS_wet_poly,61.0442848
WCMO,53,4.583,6341.798000000001,3.872,53,LES,3,5,10,12,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,6991.018066,62919.1626,Hay/Pasture,Prime farmland if drained,Very poorly drained,All Hydric,1.0,Frequent,0.5,silty clay,3.0,Lura,0.15,0.15,3.1294456000000004,1.9959285,13741.96777,13944.22949,524,84,4589,0.0,GBER_CONUS_wet_poly,42.085674299999994
WCMO,54,21.521,63572.362,7.864,54,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,31212.60352,280913.4316,Hay/Pasture,Not prime farmland,,Unknown Hydric,0.5,None,2.0,,3.888888889,Water,0.19666670000000003,0.19666670000000003,0.6338256999999999,1.4916866000000002,46276.59375,46526.60156,114,66,8258,0.0,GBER_CONUS_wet_poly,44.245220200000006
WCMO,55,11.550999999999998,30210.336,5.957999999999999,55,LES,3,2,9,30,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,17797.06641,160173.5977,Herbaceuous,Not prime farmland,,Unknown Hydric,0.5,None,2.916666667,,4.166666667,Water,0.2083333,0.2083333,5.3052416,2.1869537999999995,39148.66016,38894.05078,W,68,815,0.0,GBER_CONUS_wet_poly,31.0934792
WCMO,56,11.405,3281.305,5.638999999999999,56,LES,2,3,6,17,Le Sueur,Upper Le Sueur,LS AB UG,AB,2,UL,9,17096.20898,153865.8809,Hay/Pasture,Farmland of statewide importance,Well drained,Not Hydric,0.0,None,3.25,loam,5.0,Lester,0.28,0.28,0.3112177,0.8405944,14230.421880000002,14360.52344,109,80,6521,237.5639866,GBER_CONUS_wet_poly,95.1707535
WCMO,57,2.84,816.702,2.8110000000000004,57,LES,2,3,6,17,Le Sueur,Upper Le Sueur,LS AB UG,AB,2,UL,9,4255.169434,38296.5249,Hay/Pasture,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,2.5,clay loam,5.0,Cordova,0.28,0.28,0.22986220000000002,1.2736061,5364.429199,5415.464844,109,84,10796,151.9212761,GBER_CONUS_wet_poly,65.9544601
WCMO,58,2.872,807.794,2.833,58,LES,2,3,8,16,Le Sueur,Upper Le Sueur,LS btwn gauges,AB,2,LO,9,4208.759765999999,37878.837889999995,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,1.0,clay loam,5.0,Cordova,0.28,0.28,0.9278985999999999,0.29679829999999996,1274.155273,1248.2539060000001,109,87,9302,561.5223913,GBER_CONUS_wet_poly,293.1283264
WCMO,59,9.567,2692.4179999999997,5.212000000000001,59,LES,2,3,8,16,Le Sueur,Upper Le Sueur,LS btwn gauges,AB,2,LO,9,14027.99902,126251.9912,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,3.125,clay loam,5.0,Hamel,0.215,0.215,0.13247260000000002,0.5972479,8224.104492,8372.22168,238C2,85,368,17.49773753,NCED easement_GBERB,142.319458
WCMO,60,10.235,2880.305,5.372000000000001,60,LES,2,3,8,16,Le Sueur,Upper Le Sueur,LS btwn gauges,AB,2,LO,9,15006.925780000001,135062.332,Cultivated Crops,Farmland of statewide importance,Well drained,Not Hydric,0.0,None,5.222222222,loam,5.0,Lester,0.2511111,0.2511111,1.0088540000000001,0.49932089999999996,7441.87793,7487.907227,109,80,8072,0.0,GBER_CONUS_wet_poly,160.21762080000002
WCMO,61,2.219,624.23,2.499,61,LES,2,3,8,16,Le Sueur,Upper Le Sueur,LS btwn gauges,AB,2,LO,9,3252.354004,29271.186039999997,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,0.75,clay loam,5.0,Cordova,0.28,0.28,0.42933140000000003,0.36816550000000003,1222.677612,1196.546021,109,86,8072,120.51518440000001,GBER_CONUS_wet_poly,233.5906219
WCMO,62,7.1339999999999995,2007.45,4.493,62,LES,2,3,8,16,Le Sueur,Upper Le Sueur,LS btwn gauges,AB,2,LO,9,10459.186520000001,94132.67871000001,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,0.75,clay loam,5.0,Cordova,0.28,0.28,1.0117493,0.9614530000000001,9890.466797,10048.82813,109,86,9731,14.69184906,GBER_CONUS_wet_poly,89.4479446
WCMO,63,3.502,1035.366,3.3080000000000003,63,LES,3,2,9,30,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,5394.450684,48550.05615,Cultivated Crops,Farmland of statewide importance,Well drained,Not Hydric,0.0,None,3.333333333,loam,4.0,Lester,0.19333329999999999,0.19333329999999999,0.298699,1.6665967000000002,9044.620117,8984.12793,114,81,10777,0.0,GBER_CONUS_wet_poly,48.602043200000004
WCMO,64,2.437,6058.031999999999,2.761,64,LES,3,2,9,30,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,3753.51294,33781.616460000005,Hay/Pasture,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,1.0,clay loam,5.0,Cordova,0.28,0.28,0.711385,0.9527046,3549.7775880000004,3573.508301,109,87,6499,78.30235017,GBER_CONUS_wet_poly,91.31896970000001
WCMO,65,23.160999999999998,27811.88,8.527000000000001,65,LES,3,2,9,30,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,35690.20313,321211.8281,Deciduous Forest,All areas are prime farmland,Well drained,Not Hydric,0.0,None,3.1875,loam,4.0,Lester,0.21,0.21,0.8331383,0.8296939,28898.23633,29591.41602,106B,76,8189,0.0,GBER_CONUS_wet_poly,91.60005190000001
WCMO,66,8.671,2564.056,5.212000000000001,66,LES,3,2,9,30,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,13359.20898,120232.8809,Cultivated Crops,Prime farmland if drained,Very poorly drained,All Hydric,1.0,Frequent,0.5,silty clay loam,3.0,Glencoe,0.15,0.15,2.2306173,1.1534144,15789.08984,15398.00879,114,68,5369,0.0,GBER_CONUS_wet_poly,58.95539470000001
