Site_ID,SedRed,Cost,Duck,HYDSB,SEDSB,SEDSB_R,area_m2,DA_9_SA_m2,LAND_COVER,FrmlndCls,DrainClass,HydrcRatng,SurfText,PondFCls,NEAR_FC,Hydri,Slope,Tfactor,KfactorRF,KfactorWS,mean_slope,mean_D_m,total_V_m3,mean_V_m3,CropProdIn,NEAR_FID,NEAR_DIST,CPI_depth
10624,105.727,23134.016,16.226,53,780,790,94481.60156,850334.4141,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,clay,None,GBER_CONUS_wet_poly,1,1.625,5,0.28,0.28,0.042373,0.9260357,87460.36719,87439.82031,85,471,1134.877598,91.7891159
10625,27.449,9600.69,8.16,53,780,790,23970.44922,215734.043,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,clay,None,GBER_CONUS_wet_poly,1,0.5,5,0.28,0.28,0.3087479,0.2558483,6154.941406,6129.033691,79,8254,923.5777013,308.7767639
10819,10.894,6648.671,4.76,50,795,766,8589.884766,77308.96289,Cultivated Crops,Prime farmland if drained,Very poorly drained,All Hydric,silty clay,Frequent,GBER_CONUS_wet_poly,1,0.5,5,0.28,0.28,0.2123585,0.3693884,3141.648193,3170.980225,81,12485,49.09376019,219.2813873
10820,5.787,5781.233,3.277,50,795,766,4070.368164,36633.31348,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,clay,None,GBER_CONUS_wet_poly,1,0.5,5,0.28,0.28,0.0816487,0.1642821,652.0357666,668.2612915,79,2371,157.7062213,480.8800659
10824,6.842,10960.437,3.627,50,795,766,5004.056152,45036.50537,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,clay,None,GBER_CONUS_wet_poly,1,2,5,0.28,0.28,0.3611819,0.1855352,931.7578735,927.8328247,86,12485,27.05447366,463.5238342
10825,4.882,10627.504,2.93,50,795,766,3269.412109,29424.70898,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,clay,None,GBER_CONUS_wet_poly,1,0.5,5,0.28,0.28,2.2630019,0.0700734,232.7136383,228.9515076,79,12485,199.9370471,1127.389893
10827,11.568,6763.308,4.92,50,795,766,9187.163086,82684.46777,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,clay,None,GBER_CONUS_wet_poly,1,0.5,5,0.28,0.28,0.2685616,0.3122613,2832.834229,2866.954346,79,9192,34.24592641,252.9932861
10913,7.71,5993.838,3.74,53,766,615,5178.081543,46602.73389,Cultivated Crops,Prime farmland if drained,Moderately well drained,Not Hydric,silty clay loam,None,GBER_CONUS_wet_poly,0,1.25,5,0.28,0.28,0.9194797,0.2308795,1196.879395,1194.765625,82,9197,992.2991702,355.1636047
10914,13.954,6946.033,5.256,53,766,615,10139.19434,91252.74902,Cultivated Crops,Prime farmland if drained,Moderately well drained,Not Hydric,silty clay loam,None,NCED easement_GBERB,0,1.25,5,0.28,0.28,0.0080922,0.2927063,2939.942383,2965.962647,82,899,368.2146056,280.1442566
10915,10.647,11656.715,4.883,53,780,790,8631.792969,77686.13672,Cultivated Crops,All areas are prime farmland,Well drained,Not Hydric,loam,None,GBER_CONUS_wet_poly,0,2.833333333,5,0.2666667,0.2666667,0.4908259,0.4473314,3949.48877,3858.894287,92,8254,446.2269252,205.6640778
10916,5.616,674.631,3.106,53,766,615,3514.953857,31634.58472,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,silty clay loam,None,GBER_CONUS_wet_poly,1,1,5,0.28,0.28,0.1596801,0.4203615,1464.119263,1476.633911,81,5386,362.4023264,192.6912689
10917,25.162,3657.15,7.236,53,766,615,19054.43164,171489.8848,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,silty clay loam,None,GBER_CONUS_wet_poly,1,2.5,5,0.28,0.28,0.3153646,0.3318212,6316.216797,6318.743652,88,5386,392.0302563,265.203064
10918,45.497,12396.939,10.311,53,790,766,38539.42969,346854.8672,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,clay,None,GBER_CONUS_wet_poly,1,0.666666667,5,0.28,0.28,0.3439183,0.150839,5754.657715,5809.65625,82,8254,132.6410683,543.6260986
10919,7.334,1076.45,3.943,53,780,790,5608.504395,50476.53955,Cultivated Crops,All areas are prime farmland,Moderately well drained,Not Hydric,silty clay loam,None,GBER_CONUS_wet_poly,0,2.5,5,0.28,0.28,1.00E-05,0.6309065,3475.032959,3536.263428,86,8254,692.1655854,136.3118134
10920,6.025,5806.438,3.404,53,790,766,4201.692383,37815.23145,Cultivated Crops,Farmland of statewide importance,Very poorly drained,All Hydric,silt loam,Frequent,GBER_CONUS_wet_poly,1,0.5,5,0.28,0.28,0.0319004,0.0997178,411.9340515,418.7240906,86,8254,534.9635135,862.4342041
10921,33.574,10404.03,8.829,53,790,766,28156.00391,253404.0352,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,clay,None,GBER_CONUS_wet_poly,1,0.5,5,0.28,0.28,0.3594449,0.2270922,6401.274902,6390.066895,79,8254,470.1146002,347.8763123
10922,54.964,13980.746,11.364,53,790,766,46791.35938,421122.2344,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,clay,None,NCED easement_GBERB,1,1.125,5,0.28,0.28,0.4828772,0.3359616,15647.41113,15710.35742,82,841,224.7506919,244.075531
10944,6.646,5955.91,3.733,53,780,790,4980.470703,44824.23633,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,clay,None,GBER_CONUS_wet_poly,1,0.5,5,0.28,0.28,0.1403043,0.1933542,939.7012329,962.4065552,77,6156,1549.123001,398.2329407
10945,96.896,26581.578,15.517,53,780,790,86393.10938,777537.9844,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,clay,None,GBER_CONUS_wet_poly,1,0.5,5,0.28,0.28,0.249981,0.2696961,23134.25781,23285.5918,79,6156,988.5486938,292.9223328
10946,8.245,6235.893,4.245,53,780,790,6439.230957,57953.07861,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,silty clay loam,None,GBER_CONUS_wet_poly,1,1,5,0.28,0.28,0.1138278,0.290087,1856.266846,1866.795288,87,6156,1178.269311,299.9099731
11297,7.469,11066.895,3.849,50,795,766,5558.720703,50028.48633,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,clay,None,GBER_CONUS_wet_poly,1,0.5,5,0.28,0.28,1.9093696,0.3328292,1860.182373,1848.92688,79,920,152.0539455,237.3589783
11298,5.96,10810.605,3.364,50,795,766,4223.40332,38010.62988,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,clay,None,GBER_CONUS_wet_poly,1,0.5,5,0.28,0.28,0.0911939,0.5048009,2085.332275,2130.625488,77,12485,316.1278298,152.5354004
11452,8.614,6261.423,4.194,50,795,766,6572.247559,59150.22803,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,clay,None,GBER_CONUS_wet_poly,1,0.5,5,0.28,0.28,0.2625854,0.4731925,3104.615967,3107.97583,79,12485,97.82848872,166.9510803
11453,6.897,10869.971,3.495,53,766,615,4532.710449,40794.39404,Cultivated Crops,Prime farmland if drained,Moderately well drained,Not Hydric,silty clay loam,None,GBER_CONUS_wet_poly,0,2.25,5,0.28,0.28,0.0880952,0.3458973,1428.901733,1566.866089,90,12485,760.5897154,260.1928406
11454,40.022,16602.471,9.635,50,795,766,34400.10156,309600.9141,Cultivated Crops,Prime farmland if drained,Very poorly drained,All Hydric,silty clay,Frequent,GBER_CONUS_wet_poly,1,1,5,0.28,0.28,0.118988,0.7132627,24322.97266,24520.86719,84,7139,375.7308768,117.7686615
11455,267.349,69955.444,25.118,50,795,766,234226.2344,2108036.109,Cultivated Crops,All areas are prime farmland,Moderately well drained,Not Hydric,silty clay,None,GBER_CONUS_wet_poly,0,1.5,5,0.28,0.28,0.1629959,0.8098836,189979.25,189576.4375,86,12485,158.3304489,106.1881027
11456,21.454,13443.606,6.983,50,795,766,17941.82813,161476.4531,Cultivated Crops,Prime farmland if drained,Very poorly drained,All Hydric,silty clay,Frequent,GBER_CONUS_wet_poly,1,0.5,5,0.28,0.28,0.1221838,0.2874377,5191.987793,5153.917969,79,12485,293.1735725,274.8421326
11457,5.354,15707.705,3.169,50,795,766,3687.276856,33185.4917,Cultivated Crops,Prime farmland if drained,Moderately well drained,Not Hydric,silty clay loam,None,GBER_CONUS_wet_poly,0,1.833333333,5,0.28,0.28,0.1710481,0.2093703,780.1138306,771.5213623,89,12485,240.3236644,425.0841064
11529,15.124,7367.486,5.689,50,795,766,12335.04492,111015.4043,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,clay,None,GBER_CONUS_wet_poly,1,0.5,5,0.28,0.28,0.1660182,0.3299485,4035.600342,4067.30542,77,9090,943.7953228,233.3697357
11532,32.596,15338.722,8.547,50,795,766,27815.73633,250341.627,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,clay,None,GBER_CONUS_wet_poly,1,0.5,5,0.28,0.28,0.1630031,0.2439799,6778.494629,6782.103027,79,9192,1189.926978,323.7971191
11561,44.421,12351.347,10.045,50,795,766,38301.88672,344716.9805,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,clay,None,GBER_CONUS_wet_poly,1,0.5,5,0.28,0.28,0.3971911,0.2970577,11357.1084,11370.55176,79,9192,662.6256416,265.9416504
11562,5.699,5766.277,3.243,50,795,766,3992.444336,35931.99902,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,clay,None,GBER_CONUS_wet_poly,1,0.5,5,0.28,0.28,0.5212272,0.1843713,716.8357544,735.6184692,77,9192,1162.234212,417.6354065
11583,8.42,6102.047,3.937,53,766,615,5741.870117,51676.83105,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,clay,None,GBER_CONUS_wet_poly,1,0.5,5,0.28,0.28,0.0334398,0.142404,818.9653931,817.1519165,77,7139,889.0770353,540.71521
11584,5.193,5610.194,2.933,53,766,615,3179.225342,28613.02808,Cultivated Crops,Prime farmland if drained,Very poorly drained,All Hydric,silty clay,Frequent,GBER_CONUS_wet_poly,1,0.5,5,0.28,0.28,0.1073413,0.1959344,603.0861206,622.5283813,79,13385,726.6791784,403.1961365
11585,28.216,9123.801,7.634,53,766,615,21485.77344,193371.9609,Cultivated Crops,Prime farmland if drained,Very poorly drained,All Hydric,silty clay,Frequent,GBER_CONUS_wet_poly,1,0.625,5,0.28,0.28,0.3281951,0.2471924,5225.893555,5307.790039,80,13385,409.703856,323.6345825
11586,22.166,8564.582,7.096,50,795,766,18572.13867,167149.248,Cultivated Crops,Prime farmland if drained,Very poorly drained,All Hydric,silty clay,Frequent,GBER_CONUS_wet_poly,1,0.5,5,0.28,0.28,0.7936692,0.509521,9533.647461,9456.950195,79,5490,577.5957025,155.0475769
11587,4.986,5645.136,3.033,50,795,766,3361.276367,30251.4873,Cultivated Crops,Prime farmland if drained,Very poorly drained,All Hydric,silty clay,Frequent,GBER_CONUS_wet_poly,1,0.5,5,0.28,0.28,0.3022066,0.3199476,1140.293335,1074.759155,79,2109,307.2789338,246.9154053
11594,14.323,7300.612,5.795,53,780,790,11986.61816,107879.5635,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,silty clay loam,None,GBER_CONUS_wet_poly,1,0.75,5,0.28,0.28,0.0096303,0.2464278,2854.373535,2952.030273,84,6156,1119.487431,340.8706055
11597,9.215,6362.775,4.469,53,835,790,7100.311035,63902.79932,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,silty clay loam,None,GBER_CONUS_wet_poly,1,0.75,5,0.28,0.28,0.2354469,0.5008771,3570.252197,3554.205566,84,8051,463.4729192,167.7057953
11825,4.92,633.874,2.987,50,795,766,3302.600342,29723.40308,Cultivated Crops,Farmland of statewide importance,Very poorly drained,All Hydric,silt loam,Frequent,GBER_CONUS_wet_poly,1,0.5,5,0.28,0.28,0.2966692,0.1077985,366.7306519,355.7900696,86,12485,86.38587533,797.7844238
11827,9.525,1416.228,4.47,50,795,766,7378.809082,66409.28174,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,silty clay,None,GBER_CONUS_wet_poly,1,1,5,0.28,0.28,0.0785941,0.3369982,2484.013672,2485.07251,77,12485,158.3600873,228.487854
11828,44.946,12440.68,10.261,50,795,766,38767.32813,348905.9531,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,silty clay,None,GBER_CONUS_wet_poly,1,1,5,0.28,0.28,0.1519863,0.3088868,11909.4375,11967.14648,82,12485,353.5819672,265.4694519
11829,56.351,9383.45,11.505,50,795,766,48889.52344,440005.7109,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,silty clay loam,None,NCED easement_GBERB,1,0.833333333,5,0.28,0.28,0.2057102,0.4470859,21909.44336,21843.96094,81,876,509.0361569,181.1732483
11831,6,817.292,3.397,50,795,766,4258.242676,38324.18408,Herbaceuous,Prime farmland if drained,Poorly drained,All Hydric,silty clay loam,None,NCED easement_GBERB,1,0.75,5,0.28,0.28,1.5198767,0.7581322,3193.252441,3226.266846,83,876,705.0981519,109.4795914
12018,52.414,8553.985,11.128,53,790,766,44567.85547,401110.6992,Cultivated Crops,All areas are prime farmland,Somewhat poorly drained,Not Hydric,silty clay loam,None,GBER_CONUS_wet_poly,0,1.25,5,0.28,0.28,0.0395949,0.5519345,24722.80469,24583.29297,86,9231,488.3526666,155.8155823
12019,29.524,4727.522,8.283,53,790,766,24631.26953,221681.4258,Cultivated Crops,All areas are prime farmland,Somewhat poorly drained,Not Hydric,silty clay loam,None,GBER_CONUS_wet_poly,0,1.125,5,0.28,0.28,0.0536114,0.2480284,6127.541016,6105.467285,88,2148,442.5449863,354.7981262
12020,21.113,10205.831,6.932,53,790,766,17314.79883,155833.1895,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,silty clay,None,GBER_CONUS_wet_poly,1,1.25,5,0.28,0.28,0.0724979,0.4527423,7774.490723,7834.269043,86,10300,335.6675575,189.953537
12146,4.868,10978.699,3.034,53,835,790,3255.191406,29296.72266,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,silty clay loam,None,GBER_CONUS_wet_poly,1,2.5,5,0.26,0.26,0.1342786,0.5592919,1766.802979,1819.488525,90,113,19.55793904,160.9177551
12148,6.146,6318.518,3.526,53,835,790,4385.442871,39468.98584,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,silty clay loam,None,GBER_CONUS_wet_poly,1,1,5,0.26,0.26,0.3366353,0.2447259,1090.253662,1072.574951,90,2395,123.2159276,367.7584534
12498,6.703,5936.744,3.648,50,795,766,4880.609375,43925.48438,"Developed, Open Space",Prime farmland if drained,Poorly drained,All Hydric,silty clay loam,None,GBER_CONUS_wet_poly,1,1,5,0.28,0.28,1.00E-05,0.2981416,1424.818481,1454.198486,87,12485,551.564152,291.8076782
12499,45.084,21068.069,10.264,50,795,766,38890.44531,350014.0078,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,silty clay loam,None,GBER_CONUS_wet_poly,1,0.833333333,5,0.28,0.28,0.0015793,0.2937586,11397.53809,11417.17676,84,9849,513.9294947,285.9490967
12501,6.286,5865.853,3.498,50,795,766,4511.256348,40601.30713,Cultivated Crops,Prime farmland if drained,Very poorly drained,All Hydric,silty clay loam,Frequent,GBER_CONUS_wet_poly,1,0.5,5,0.3,0.3,0.1983655,0.2139024,970.2613525,964.3571777,86,9849,276.8911549,402.0524902
12503,809.594,233105.52,45.038,53,855,835,742057.6875,6678519.188,Cultivated Crops,Prime farmland if drained,Very poorly drained,All Hydric,silty clay,Frequent,GBER_CONUS_wet_poly,1,0.636363636,5,0.2909091,0.2909091,0.1453994,0.4108155,304575.75,304656.1875,83,6282,0,202.0371552
12504,6.004,6344.667,3.505,53,855,835,4472.414063,40251.72656,Cultivated Crops,Prime farmland if drained,Very poorly drained,All Hydric,silty clay,Frequent,GBER_CONUS_wet_poly,1,0.75,5,0.28,0.28,7.1224442,0.4974108,2417.416504,2223.218506,79,8238,287.3260046,158.8224487
12581,11.338,6723.381,5.031,53,835,790,8979.136719,80812.23047,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,silty clay loam,None,GBER_CONUS_wet_poly,1,2.25,5,0.26,0.26,0.6596471,0.4152664,3733.660156,3726.450195,90,113,306.4186949,216.7283478
12582,19.768,9943.149,6.813,53,835,790,16441.10547,147969.9492,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,silty clay loam,None,GBER_CONUS_wet_poly,1,3.125,5,0.27,0.27,0.7670012,0.7611263,12453.54883,12506.0918,87,113,0,114.3042831
12583,23.763,3834.438,7.521,53,835,790,19978.13867,179803.248,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,loam,None,GBER_CONUS_wet_poly,1,2,5,0.24,0.24,0.1690298,0.602689,11960.3623,12033.21973,94,6524,315.2674064,155.9676819
12584,7.28,7206.182,3.899,53,835,790,5389.027344,48501.24609,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,silty clay loam,None,GBER_CONUS_wet_poly,1,1,5,0.28,0.28,1.3597437,0.4328705,2314.125732,2331.311768,77,1004,108.2393587,177.882309
12743,11.825,12829.263,5.166,53,835,790,9410.239258,84692.15332,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,loam,None,GBER_CONUS_wet_poly,1,2.166666667,5,0.2533333,0.2533333,0.0256583,0.1708351,1549.816406,1606.613525,92,5651,191.3191308,538.5308838
13058,45.078,16807.676,10.551,53,890,835,39272.79297,353455.1367,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,silty clay loam,None,GBER_CONUS_wet_poly,1,1.125,5,0.28,0.28,0.1155134,0.309792,12195.27344,12158.87891,87,3594,181.6104261,280.8335876
13059,5.338,731.93,3.292,71,923,922,3813.493652,34321.44287,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,silty clay loam,None,GBER_CONUS_wet_poly,1,1,5,0.28,0.28,0.765349,0.511301,2029.35376,1948.638672,77,3209,240.7502901,150.5962372
13069,13.152,8182.351,5.511,53,835,790,10584.62402,95261.61621,Herbaceuous,Prime farmland if drained,Poorly drained,All Hydric,loam,None,NCED easement_GBERB,1,7.166666667,5,0.3166667,0.3166667,1.1267998,1.1862792,12395.43164,12548.63184,85,527,15.89146589,71.6526108
13070,6.183,6394.641,3.57,53,855,835,4638.629883,41747.66895,Cultivated Crops,Prime farmland if drained,Very poorly drained,All Hydric,silty clay,Frequent,GBER_CONUS_wet_poly,1,0.75,5,0.28,0.28,1.00E-05,0.4176559,1826.826904,1936.135986,79,8238,242.8093946,189.1509247
13071,22.272,10887.116,7.344,53,855,835,19580.77734,176226.9961,Cultivated Crops,Prime farmland if drained,Very poorly drained,All Hydric,silty clay,Frequent,GBER_CONUS_wet_poly,1,0.75,5,0.28,0.28,0.0520918,0.4490132,8765.1875,8786.495117,79,8238,199.4500819,175.9413757
13072,15.117,8889.005,5.962,53,855,835,12934.98438,116414.8594,Cultivated Crops,Prime farmland if drained,Very poorly drained,All Hydric,silty clay,Frequent,GBER_CONUS_wet_poly,1,0.75,5,0.28,0.28,0.0999791,0.3692738,4755.876953,4773.539551,79,5240,0,213.9334106
13074,10.644,7639.893,4.906,53,855,835,8780.387695,79023.48926,Cultivated Crops,Prime farmland if drained,Very poorly drained,All Hydric,silty clay,Frequent,GBER_CONUS_wet_poly,1,0.75,5,0.28,0.28,0.1686809,0.2071421,1812.079224,1817.638916,79,5240,199.0431683,381.3807068
13081,72.193,11647.978,12.949,53,918,890,60688.13281,546193.1953,Cultivated Crops,Prime farmland if drained,Very poorly drained,All Hydric,silty clay,Frequent,GBER_CONUS_wet_poly,1,0.75,5,0.28,0.28,0.1440519,0.3386352,20791.52539,20538.20117,79,5240,566.793113,233.2893829
13082,47.655,12745.195,10.534,53,918,890,40353.90625,363185.1563,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,silty clay loam,None,GBER_CONUS_wet_poly,1,0.666666667,5,0.2933333,0.2933333,0.0774917,0.4572779,18445.67383,18441.28125,84,5240,1026.095213,183.695755
13083,25.058,8975.132,7.523,53,918,890,20711.17578,186400.582,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,silty clay loam,None,NCED easement_GBERB,1,0.75,5,0.28,0.28,0.0879522,0.2975158,6072.892578,6157.982422,81,574,797.5744672,272.254425
13085,5.711,752.739,3.297,53,918,890,3921.909912,35297.18921,Cultivated Crops,Prime farmland if drained,Very poorly drained,All Hydric,silty clay,Frequent,GBER_CONUS_wet_poly,1,0.5,5,0.28,0.28,0.2547336,0.4536073,1690.140991,1777.888184,81,4474,723.2741076,178.5685425
13135,6.372,5880.081,3.622,53,835,790,4585.386231,41268.47607,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,silty clay loam,None,NCED easement_GBERB,1,7.75,5,0.355,0.355,0.0127503,0.3935696,1880.869019,1803.565552,76,527,22.06334004,193.1043549
13137,60.909,19923.582,12.204,71,927,923,51703.71094,465333.3984,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,silty clay loam,None,NCED easement_GBERB,1,1,3.666666667,0.1933333,0.1933333,0.1730677,0.9480568,48993.67578,48988.23438,79,527,178.6329446,83.3283386
13139,6.266,5842.004,3.56,71,927,923,4386.998047,39482.98242,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,silty clay loam,None,GBER_CONUS_wet_poly,1,2,5,0.2933333,0.2933333,0.2539306,0.4769976,2086.387695,2091.313232,98,2655,181.3107705,205.451767
13140,7.725,11607.372,4.036,71,927,923,5647.905762,50831.15186,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,loam,None,NCED easement_GBERB,1,1.5,5,0.2666667,0.2666667,0.9848858,0.2638204,1453.122559,1489.126099,96,527,171.8209736,363.8839722
13868,15.901,13915.499,5.993,50,795,766,13023.10352,117207.9316,Cultivated Crops,All areas are prime farmland,Somewhat poorly drained,Not Hydric,silty clay loam,None,GBER_CONUS_wet_poly,0,2.333333333,5,0.28,0.28,0.2760668,0.4693346,6120.592773,6108.382813,92,12967,33.55994099,196.0222015
13869,12.207,8990.766,5.2,53,835,790,9748.217773,87733.95996,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,silty clay loam,None,GBER_CONUS_wet_poly,1,1,5,0.28,0.28,0.798529,0.6401356,6170.266602,6236.292969,87,12835,0,135.9087067
13870,4.473,5585.461,2.899,53,855,835,3050.362549,27453.26294,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,silty clay loam,None,GBER_CONUS_wet_poly,1,0.5,5,0.28,0.28,0.1512292,0.1325776,408.0738831,404.1563416,85,11931,248.9101689,641.1339111
13871,27.765,17421.215,8.265,53,855,835,24683.25195,222149.2676,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,silty clay loam,None,GBER_CONUS_wet_poly,1,0.833333333,5,0.28,0.28,0.1684484,0.3602614,8871.077148,8886.864258,86,11931,0,238.7155457
13872,6.359,5877.879,3.569,53,835,790,4573.915039,41165.23535,Cultivated Crops,Prime farmland if drained,Very poorly drained,All Hydric,silty clay loam,Frequent,GBER_CONUS_wet_poly,1,0.5,5,0.28,0.28,0.5674679,0.3278073,1513.486572,1498.429321,86,8033,289.3473701,262.3492126
13873,5.192,5713.685,3.205,53,855,835,3718.431152,33465.88037,Cultivated Crops,Prime farmland if drained,Very poorly drained,All Hydric,silty clay,Frequent,GBER_CONUS_wet_poly,1,0.5,5,0.28,0.28,0.1415884,0.2399188,874.5041504,891.5627441,83,11931,404.1540305,345.9503174
13874,6.731,988,3.775,53,855,835,5147.666504,46328.99854,Cultivated Crops,Prime farmland if drained,Very poorly drained,All Hydric,silty clay,Frequent,GBER_CONUS_wet_poly,1,0.5,5,0.28,0.28,3.7862985,0.106285,576.8085938,546.7767944,81,9153,138.7866056,762.1019897
13875,13.241,8364.994,5.599,53,855,835,11192.10156,100728.9141,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,silty clay loam,None,GBER_CONUS_wet_poly,1,1,5,0.28,0.28,0.2393515,0.2421495,2765.590088,2708.475342,77,2569,410.3449823,317.985321
